artist,year,occurrences,title
Venom,2003,160,Witching Hour
The Monkees,2012,160,Daydream Believer
Mayhem,1999,160,Deathcrush
Montgomery Gentry,2014,160,Something To Be Proud Of
Lee Ritenour,1993,160,A Little Bumpin'
Public Enemy,2013,159,Mind Terrorist
The Pop Group,2017,159,Don't Sell Your Dreams
Lightning Bolt,2009,159,Rain On Lake I'm Swimming In
Gallows,2007,159,Will Someone Shoot That Fucking Snake
HORSE the band,2007,159,Hyperborea
Nancy Sinatra,2012,159,You Only Live Twice
Sixtoo,2004,159,Transient Control
Children of Bodom,1998,159,The Nail
Mike Oldfield,2015,159,Hibernaculum
Nneka,2005,159,Stand Strong
Northlane,2011,159,Dispossession
Das Ich,1991,159,Die Propheten
Kode9 & The Spaceape,2006,159,Quantum
Mark Ronson,2007,159,Diversion
Alpha,2004,159,Elvis
Keaton Henson,2010,159,You Don't Know How Lucky You Are
Tahiti 80,2004,159,Better Days Will Come
Arsis,2014,159,We Are The Nightmare
Toots and The Maytals,2004,159,It Was Written Down
Mount Kimbie,2011,159,Sketch on Glass
Olivia Ruiz,2003,159,Les Vieux Amoureux
Future,2012,158,Turn On The Lights
Imagination,2012,158,Just an Illusion
Dimmu Borgir,2006,158,Da den kristne satte livet til
Sistars,2005,158,Na dwa
Jon Hopkins,2005,158,Second Sense
T.Love,1997,158,Stokrotka
Unk,2013,158,Walk It Out
Future of the Left,2009,158,Arming Eritrea
In Flames,2002,158,Dark Signs
Pretty Girls Make Graves,2006,158,The Magic Hour
Sting,1996,158,La Belle Dame Sans Regrets
The Organ,2006,158,There Is Nothing I Can Do
Onra,2008,158,The Vallee of Love
Bodyjar,2000,158,Not the Same
The Ethiopians,2011,158,Engine 54
High on Fire,2007,158,Cyclopian Scape
John Michael Montgomery,2004,158,Letters From Home
Santana,1990,158,Guajira
Mike Oldfield,1994,157,Crystal Clear
Salt-N-Pepa,2013,157,Let's Talk About Sex
Edguy,2003,157,Painting on the Wall
Funki Porcini,1999,157,Live Fast
Mustard Plug,2001,157,Thigh High Nylons
Cult of Luna,2003,157,Clones
Trapt,2005,157,Repeat Offender
The Mission,2009,157,Like A Hurricane
Passion Pit,2012,157,I'll Be Alright
Edgewater,2004,157,Neglected
Mr. Flash,2008,157,Over the Top
Juana Molina,2006,157,Micael
Tori Amos,2012,157,Silent All These Years
Yellow Swans,2010,157,Going Places
Bolt Thrower,2009,157,Drowned In Torment
Silverchair,2011,157,Straight Lines
Reverend and the Makers,2007,157,He Said He Loved Me
Shinedown,2013,157,Devour
Butthole Surfers,1987,157,Human Cannonball
The Vandals,2004,156,Manimal
Syd Matters,2005,156,Obstacles
Masterplan,2005,156,Wounds
Big Star,1992,156,Thirteen
Frédéric Chopin,2014,156,Funeral March
Bob Marley & The Wailers,2011,156,Could You Be Loved
Bob Marley & The Wailers,1991,156,"Get Up, Stand Up"
Black Label Society,2010,156,Parade Of The Dead
Spiritualized,2012,156,Get What You Deserve
Public Image Ltd.,1999,156,Flowers of Romance
Bathory,2003,156,Vinland
Paul Potts,2007,155,Music Of The Night
DJ Cam,2008,155,Underground Vibes
Ingrid Michaelson,2009,155,Masochist
Goo Goo Dolls,2007,155,Before It's Too Late
Here I Come Falling,2008,155,A Ghost Town For A Graveyard
Dream Evil,2004,155,The Sledge
Carpathian,2006,155,who the fuck taught you snaps?
Egypt Central,2005,155,Taking You Down
Tape Five,2007,155,Longitude
The Beatles,1996,155,Sgt. Pepper's Lonely Hearts Club Band
36 Crazyfists,2009,155,Absent Are The Saints
Babes in Toyland,1995,155,Sweet '69
Cornelius,1999,154,Count Five or Six
Murcof,2002,154,Mes
Vader,2019,154,Litany
Common Rider,1999,154,Castaways
Melissa Ferrick,1997,154,Massive Blur
Mouth of the Architect,2008,154,Pine Boxes
Tiamat,1995,154,In A Dream
Trouble,1984,154,The Tempter
Spandau Ballet,2009,154,Only When You Leave
Seabound,2001,154,Avalost
Lulu Rouge,2009,154,Lulu's Theme
I Break Horses,2011,154,Hearts
The Dillinger Escape Plan,2014,154,When Good Dogs Do Bad Things
Stick to Your Guns,2007,154,This Is More
Evergreen Terrace,2007,154,Wolfbiker
Running Wild,2002,154,The Rivalry
Antsy Pants,2007,154,Tree Hugger
Alceu Valença,1998,153,Coração Bobo
Burial,2009,153,South London Boroughs
Senses Fail,2019,153,Steven
Hoobastank,2010,153,Inside Of You
Dragonland,2014,153,Dragondawn
Benga,2006,153,Killers About
Kitaro,2012,153,Bell Tower
Sum 41,2004,153,Welcome to Hell
Talamasca,2003,153,Sagittarius
Jennifer Hudson,2008,152,Spotlight
Kiss,2005,152,C'mon And Love Me
Los Látigos,2005,152,Luces Sensacional
The Skatalites,1997,152,Rock Fort Rock
Lake of Tears,2007,152,Like a Leaf
Jon & Vangelis,1994,152,Deborah
Rihanna,2010,152,S&M
Coralie Clément,2007,151,L'Enfer
Tiamat,2003,151,The Garden Of Heathen
Culcha Candela,2005,151,Next Generation
Sarah Brightman,2008,151,Storia d'Amore
Mortal Love,2005,151,Crave Your Love
Slint,1989,151,Pat
Korpiklaani,2014,151,Juodaan Viinaa
"Crosby, Stills & Nash",2012,151,Southern Cross
Shimon & Andy C,2007,151,Body Rock
Opeth,2014,151,Master's Apprentices
Deltron 3030,2000,151,Memory Loss
Nicholas Gunn,1994,151,The Sacred Fire
Tycho,2011,151,Adrift
Nachtmahr,2010,151,Sklave
Apoptygma Berzerk,2005,151,Lost in Translation
Faces,1973,150,Glad and Sorry
Christina Stürmer,2008,150,Ich Lebe
Feeder,2004,150,Shatter
Pain,2011,150,I'm Going In
Psycroptic,2008,150,The Shifting Equilibrium
She Makes War,2010,150,Olympian
The Exies,2007,150,This Is The Sound
Mel Tormé,2000,150,Strangers in the Night
Accept,1981,150,Breaking Up Again
Slightly Stoopid,2007,150,2 AM
Jane's Addiction,1990,150,Ain't No Right
Labyrinth,1998,150,New Horizons
Marie Serneholt,2006,150,That's the Way My Heart Goes
The Highwaymen,2016,150,American Remains
Black Moth Super Rainbow,2001,150,Boatfriend
The Doors,2003,150,Riders on the Storm
Pete Murray,2005,150,This Pill
Teräsbetoni,2012,150,Älä Kerro Meille
Jamal,2008,149,Ogień
The Rolling Stones,2011,149,You Better Move On
Insect Warfare,2009,149,Necessary Death
Blutengel,2007,149,Singing Dead Men
Deep Forest,1995,149,Deep Folk Song
Bauhaus,2012,149,Mirror Remains
The Civil Wars,2013,149,Dust to Dust
Orquesta Del Plata,2002,149,Montserrat
Porcupine Tree,1996,149,Bornlivedie
Blue States,2000,149,Arion
Bastille,2017,149,World Gone Mad
Emily Jane White,2007,149,Dark Undercoat
Flying Lotus,2018,149,Massage Situation
Screaming Trees,2009,149,Ocean Of Confusion
Jeremy Soule,2011,149,Tundra
Teebs,2010,149,Felt Tip
Edguy,1997,149,When a Hero Cries
Miss Li,2012,149,Dancing the Whole Way Home
Judas Priest,2002,149,Exciter
Marduk,1999,148,Panzer Division Marduk
Squarepusher,1996,148,Port Rhombus
Slade,2008,148,Far Far Away
Ayub Ogada,2000,148,Obiero
Animal Collective,2012,148,Father Time
The Golden Filter,2010,148,Moonlight Fantasy
Nicholas Gunn,1995,148,Four Worlds
Stam1na,2011,148,Merestä Maalle
The Wanted,2012,148,Chasing the Sun
FM Static,2003,148,Definitely Maybe
Yves Larock,2010,148,Rise Up
Pete Rock,2008,148,Pete's Jazz
Foo Fighters,2002,148,Tired Of You
A Silver Mt. Zion,2008,148,BlindBlindBlind
Kasabian,2009,148,Fire
Allie X,2014,148,Prime
Sting,1993,147,Heavy Cloud No Rain
Marnie Stern,2007,147,Grapefruit
Local Natives,2013,147,You & I
Roxette,2003,147,The Look
Draconian,2006,147,She Dies
Kreator,2007,147,Reconquering the Throne
Apocalyptica,2016,147,Creeping Death
Kiss,2002,147,Christine Sixteen
Meshuggah,1998,147,Neurotica
Cinderella,1997,147,The Last Mile
Faithless,2006,147,I Hope
David Bowie,2002,147,Segue - Baby Grace (A Horrid Cassette)
Gal Costa,1996,147,Tuareg
Daphne Loves Derby,2005,147,Birthday Gallery
She & Him,2014,147,Stay Awhile
King Diamond,2010,147,Abigail
Saul Williams,2004,147,Act III Scene 2 (Shakespeare)
London Elektricity,2005,147,I Don't Understand
Rosetta Stone,2006,147,Leave Me for Dead
Miracle Fortress,2007,147,Next Train
R.E.M.,2014,147,Half a World Away
Ari Koivunen,2008,146,Give Me A Reason
Mike Ness,1999,146,The Devil In Miss Jones
John Lennon,1974,146,Bless You
Kult,1993,146,Celina
Matmos,2008,146,Polychords
The Alan Parsons Project,2003,146,(The System Of) Doctor Tarr And Professor Fether
Placebo,2006,146,One of a Kind
David Gray,2007,146,Please Forgive Me
A Life Once Lost,2005,146,With Pitiless Blows
Kissin' Dynamite,2008,146,Freaky
Stabbing Westward,1994,146,Red On White
Pain of Salvation,1998,146,Shore Serenity
Tricky,2010,146,Early Bird
Stevie Wonder,1999,146,Knocks Me Off My Feet
The Ark,2000,146,Let Your Body Decide
Super8 & Tab,2011,145,Helsinki Scorchin'
Coconut Records,2007,145,Summer Day
Endo,2003,145,Simple Lies
Barenaked Ladies,1996,145,When I Fall
Sage Francis,2007,145,High Step
GG Allin,1999,145,"Drink, fight and fuck"
Pixies,1988,145,Something Against You
Tortoise,1998,145,Everglade
La Vela Puerca,2002,145,El Viejo
Liturgy,2011,145,Returner
Xiu Xiu,2006,145,Buzz Saw
Grzegorz Turnau,1995,145,Bracka
Aaliyah,2002,145,More Than a Woman
Paris Combo,2005,145,"High, Low, In"
Chicane,2008,145,Come Tomorrow
Archive,2004,145,Conscience
Lovehatehero,2007,145,I'll Make It To Brigades
Chris Vrenna,2001,144,Pool of Tears
Suicidal Tendencies,1997,144,Nobody Hears
Penumbra,2003,144,Conception
Pet Shop Boys,1988,144,Domino Dancing
Charly García,1996,144,Estaba en Llamas Cuando Me Acosté
Girls,2011,144,Vomit
The Format,2003,144,"Wait, Wait, Wait"
Stevie Wonder,2015,144,Isn't She Lovely
Waylon Jennings,2012,144,Good Hearted Woman
Black Strobe,2008,144,I'm a Man
Booka Shade,2007,144,Karma Car
Da Lata,2012,144,Ponteio
Tahiti 80,2000,144,Yellow Butterfly
Akissforjersey,2008,144,Without Regret
Terence Trent D'Arby,1987,144,Dance Little Sister
Braid,2000,144,Killing A Camera
Obadiah Parker,2007,144,Hey Ya
The Haunted,1998,143,In Vein
Basic Channel,2014,143,Q1.2
Ancient Astronauts,2009,143,I Came Running
Hiromi,2011,143,Voice
The Who,1973,143,I've Had Enough
Carpathian Forest,2001,143,"Fever, Flames And Hell"
The Cure,2004,143,(I Don't Know What's Going) On
Amorphis,1996,143,Cares
Five Finger Death Punch,2011,143,Back For More
Kate Bush,2011,143,Rubberband Girl
DJ Marky & XRS,2003,143,Rotation
Lycia,1996,143,Snowdrop
Morrissey,2006,143,Dear God Please Help Me
Logistics,2008,143,Back Where We Started
Pedro the Lion,2004,143,Foregone Conclusions
Absu,2008,143,A Shield With An Iron Face
God Forbid,2008,143,The Lonely Dead
Fields of the Nephilim,2005,143,Straight to the Light
M.I.A.,2010,143,Space
Stephen Malkmus,2005,143,Pencil Rot
Kent,2005,143,Dom som försvann
Neon Indian,2009,142,Laughing Gas
Hilight Tribe,2002,142,Free Tibet
Sheila Chandra,1999,142,The Enchantment
Lizz Wright,2007,142,Hit The Ground
Black Box Recorder,1998,142,Child Psychology
Sawa,2006,142,Get Up Stand Up
Corrosion of Conformity,2011,142,Clean My Wounds
Kate Bush,1985,142,Cloudbusting
Robbie Williams,2009,142,You Know Me
Mouse on Mars,2001,142,Subsequence
Craig Armstrong,2002,141,Niente
Vitalic,2006,141,Poney Part I
Auf Der Maur,2008,141,Lightning Is My Girl
Ben Westbeech,2009,141,Get Closer
A Perfect Circle,2004,141,Annihilation
Architects,2009,141,Borrowed Time
Zomby,2010,141,Kaliko
The Pretty Reckless,2010,141,Goin' Down
The Prodigy,2005,141,Voodoo People (Pendulum Mix)
Betty Davis,1974,141,Shoo-B-Doop and Cop Him
The Falcon,2006,141,Unicorn Odyssey
Lou Reed,2000,141,Oh Jim
Chimaira,2010,141,The Venom Inside
Type O Negative,2006,141,Everything Dies
Borknagar,2006,141,The Spirit Of Nature
The Clash,1977,141,Cheat
Rush,1996,141,Driven
Sikth,2011,141,Wait For Something Wild
Cannibal Corpse,1994,141,Return To Flesh
Máire Brennan,2003,141,Eirigh Suas A Stoirin
Lower Dens,2012,141,Alphabet Song
In Flames,2008,140,The Mirror's Truth
Pain of Salvation,1997,140,People Passing By
Mark Lanegan,1990,140,Mockingbirds
Scuba,2013,140,So You Think You're Special
Billy Talent,2012,140,Hanging by a Thread
Hybrid,2012,140,Disappear Here
Every Time I Die,2010,140,After One Quarter Of A Revolution
Panzer AG,2004,140,Drukne I Taarer
CHON,2015,140,Knot
Dungen,2014,140,Lejonet & Kulan
Modjo,2013,140,Chillin'
Ariana Grande,2019,140,Needy
White Lies,2013,140,Mother Tongue
Testament,2000,139,Careful What You Wish For
Kiss,2012,139,Crazy Crazy Nights
Carpathian Forest,2003,139,One With the Earth
Switchblade Symphony,1997,139,Insect
At the Gates,1995,139,Captor Of Sin (Slayer Cover)
David Arkenstone,1998,139,Children Of The Sun
David Bowie,2003,139,Never Get Old
Capdown,2005,139,Ska Wars
Teddy Geiger,2009,139,For You I Will (Confidence)
Leftöver Crack,2001,139,With the Sickness
ギルガメッシュ,2014,139,patchwork
Frank Black,1994,139,Two Reelers
Frank Sinatra,2013,139,In the Wee Small Hours of the Morning
Borknagar,2001,139,Inherit The Earth
Brewer & Shipley,2013,139,One Toke Over The Line
Boards of Canada,2012,139,Dayvan Cowboy
Sam Cooke,2012,139,Nothing Can Change This Love
Yazoo,2010,139,Bring Your Love Down (Didn't I)
Elvis Presley,2012,139,Love Me Tender
Refused,2010,139,The Apollo Programme Was a Hoax
Bill Haley & His Comets,2014,139,See You Later Alligator
Theatre of Tragedy,1998,139,Aoede
The Searchers,2011,138,Sugar and Spice
Cults,2011,138,You Know What I Mean
The Long Blondes,2007,138,Weekend Without Makeup
Jack Jones,1998,138,Wives And Lovers
Carrie Underwood,2012,138,Undo It
Joan Jett and the Blackhearts,2013,138,Bad Reputation
The Psychedelic Furs,2011,138,Love My Way
Bluetech,2008,138,Worthy
The Fugs,2002,138,CIA Man
Marc Romboy,2008,138,sonora
Crashdïet,2005,138,Riot in Everyone
Conor Maynard,2012,138,Can't Say No
Commix,2007,138,Emily's Smile
Astor Piazzolla,2012,138,Adios Nonino
Fort Minor,2005,137,Petrified
King Dude,2015,137,Black Butterfly
Usher,2004,137,Yeah
Zombie Girl,2007,137,Funeral Pyre
Beck,2006,137,Motorcade
Robert Plant,2010,137,Angel Dance
Fun Lovin' Criminals,2007,137,We Have All The Time In The World
Sizzla,2002,137,Solid As A Rock
Billie Holiday,2014,137,Easy To Love
The Residents,1980,136,Tragic Bells
The Gun Club,1981,136,She's Like Heroin to Me
Arca,2014,136,Self Defense
Leonard Cohen,1974,136,Is This What You Wanted
Don Covay,1991,136,"Mercy, Mercy"
Brain Drill,2008,136,The Parasites
Terry Callier,2005,136,Ordinary Joe
Rick James,2014,136,Ghetto Life
Edvin Marton,2007,136,Tosca Fantasy
Terror,2008,136,Keep Your Mouth Shut
Tim Hecker,2004,136,The Truth of Accountants
The Cars,2006,136,Just What I Needed
Darkthrone,2007,136,These Shores are Damned
Skinny Puppy,1998,135,Dig It
Skindred,2003,135,World Domination
Melvins,1996,135,Bar-X-the Rocking M
Reverend Bizarre,2002,135,Sodoma Sunrise
Bran Van 3000,1998,135,Une Chanson
Tinariwen,2006,135,Alkhar Dessouf
Muffler,2009,135,Hear Me Scream
Busdriver,2005,135,Yawning Zeitgeist Intro (Freestyle)
Mark Lanegan,1994,135,Borracho
La Roux,2010,135,In for the Kill
FM Belfast,2013,135,Par Avion
Alkaline Trio,2008,134,Do You Wanna Know?
The Bug,2007,134,Jah War
Lesiëm,2006,134,Bonitas
Masterplan,2009,134,After This War
Anaal Nathrakh,2005,134,"Rage, Rage Against the Dying of the Light"
Espers,2004,134,Riding
Fit for a King,2016,134,Deathgrip
The Gathering,2000,134,Analog Park
Raimundos,1995,134,Bestinha
Alix Perez,2009,134,Melanie
The War on Drugs,2008,134,Buenos Aires Beach
Whitesnake,2002,134,Love Ain't No Stranger
Crippled Black Phoenix,2007,134,The Northern Cobbler
Jason Mraz,2012,134,I Won't Give Up
Kreator,1997,134,Whatever It May Take
Trapt,2004,134,Lost In A Portrait
Chicane,1997,134,Red Skies
Dagoba,2014,134,The Things Within
This Will Destroy You,2010,134,Rituals
The Kooks,2012,133,Naïve
Stereo MC's,2002,133,Ground Level
MC5,2010,133,Kick Out the Jams (Original Uncensored Version)
Bola,2002,133,"O, Chuma"
Rainbow,1982,133,Stone Cold
Hagalaz' Runedance,2000,133,Wake Skadi
Faust,1973,133,Jennifer
Aerosmith,1998,133,One Way Street
Llorca,2001,133,Indigo Blues
Minitel Rose,2010,133,Continue
Room Eleven,2008,133,Lalala Love
Idris Muhammad,2005,133,Could Heaven Ever Be Like This
The Mount Fuji Doomjazz Corporation,2009,133,Castles By The Sea
Arch Enemy,2003,133,End of the Line
Van Halen,1978,133,Runnin' With the Devil
Blur,2012,133,Under the Westway
Dirty Three,1998,133,Authentic Celestial Music
Survivor,2006,133,Eye of the Tiger
Dr. Octagon,1996,133,Bear Witness
Neil Diamond,1987,133,I Am...I Said
Syd Barrett,1988,133,Opel
Art Brut,2013,132,Direct Hit
Common Rider,2002,132,Firewall
Moby,2003,132,Love of Strings
Julia Kent,2007,132,Barajas
Today Is The Day,2017,132,Blindspot
The Birthday Party,1983,132,Jennifer's Veil
Masterplan,2011,132,Soulburn
Aztec Camera,2015,132,Walk Out To Winter
Suprême NTM,2007,132,Tout n'est pas si facile
Kaada/Patton,2004,132,Nuit Silencieuse
Trey Songz,2014,132,Na Na
Refused,1994,132,Pump the Brakes
Grant Lee Buffalo,2012,132,Fuzzy
Paradise Lost,2002,132,Symbol Of Life
Absu,2009,132,"Twix Yesterday, the Day & the Morrow"
Tricky,2001,132,Over Me
Kerli,2008,132,Strange Boy
October Tide,2008,132,Infinite Submission
Hardknox,1999,132,Fire Like This
The Enemy,2007,132,Aggro
The Herbaliser,1997,132,Shortys' Judgement
The Gaslight Anthem,2007,132,We Came To Dance
Russian Circles,2008,132,Youngblood
Don Carlos,2011,132,Tribulation
Mariah Carey,1994,132,Miss You Most (At Christmas Time)
Peggy Lee,2011,131,Big Spender
The Thrills,2009,131,One Horse Town
The Perishers,2005,131,Weekends
Beanfield,2009,131,Planetary Deadlock
Dissection,2006,131,Black Dragon
Solar Fields,2007,131,Kick Back
Kate Walsh,2007,131,French Song
Chicago,2004,131,Old Days
Riverside,2009,131,Driven To Destruction
Randy Newman,2010,131,You've Got A Friend In Me
Tones And I,2019,131,Dance Monkey
Underneath the Gun,2009,131,Shawshank Absolution
Hagalaz' Runedance,1998,131,Seidr
Pharrell Williams,2014,131,Gush
Pryda,2007,131,Muranyi
Yo La Tengo,1992,130,Mushroom Cloud of Hiss
Iron Maiden,1981,130,Another Life
Stereolab,1996,130,The Noise of Carpet
Black Grape,2011,130,Reverend Black Grape
Kate & Anna McGarrigle,2012,130,Complainte Pour Ste. Catherine
Waylon Jennings,1996,130,Theme From The Dukes Of Hazzard (Good Ol' Boys)
Leftfield,2009,130,Melt
Lusine,2005,130,Two Dots
Limp Bizkit,2011,130,Get a Life
Les Rita Mitsouko,2019,130,Marcia Baila
Glass Animals,2013,130,Black Mambo
Rodney Hunter,2004,130,Work That Body
Thomas Dybdahl,2004,130,"One Day You'll Dance For Me, New York City"
Hatebreed,1997,130,Not One Truth
Chelsea Wolfe,2017,129,Offering
Helloween,2002,129,Midnight Sun
Electric Light Orchestra,2003,129,Don't Bring Me Down
The Rascals,2002,129,A Beautiful Morning
Frank Turner,2008,129,Photosynthesis
Markus Schulz,2005,129,Sorrow Has No Home
Mortiis,2004,129,Le Petit Cochon Sordide
Portugal. The Man,2008,129,Salt
Toumani Diabaté,2008,129,Si Naani
Brian Hyland,2013,129,Sealed with a Kiss
Orphaned Land,2012,129,Sapari
浜崎あゆみ,2019,129,Duty
Angelspit,2009,129,Wreak Havoc
The Rolling Stones,2004,128,Confessin' The Blues
4hero,2001,128,Ways Of Thought
Prefuse 73,2001,128,Nuno
Ellen Allien,2003,128,Augenblick
The Crüxshadows,2003,128,Love and Hatred
Clannad,2003,128,Christmas Angels
blink-182,2017,128,Bored to Death
Los Cojolites,2002,128,El Conejo
Edgard Varèse,2012,128,Arcana
Dashboard Confessional,2007,128,The Shade Of Poison Trees
Bad Manners,2013,128,Sally Brown
Grateful Dead,2013,128,Greatest Story Ever Told
Scar Symmetry,2013,128,Dark Matter Dimensions
Those Dancing Days,2007,128,Dischoe
The Litter,2009,128,Action Woman
Spiritualized,1997,128,Home of the Brave
The Jesus and Mary Chain,1987,128,Nine Million Rainy Days
Ide Adobe Players,2003,128,Hog Eye Man
Flying Saucer Attack,1994,128,Make Me Dream
Young Marble Giants,2009,128,N.I.T.A.
The Clash,1965,127,London Calling
Townes Van Zandt,2005,127,To Live Is To Fly
Nari & Milani,2012,127,Atom
Afro Celt Sound System,2004,127,When You're Falling
The xx,2012,127,Missing
Combichrist,2003,127,Master Control
Dark Tranquillity,1999,127,On Your Time
The Good Life,2007,127,Keely Aimee
The Blood Brothers,2003,127,The Shame
The Long Blondes,2008,127,Long Blonde
"Tyler, the Creator",2011,127,Her
Wintersleep,2007,127,Weighty Ghost
Christina Stürmer,2006,127,Nie genug
Luciana Souza,2005,127,Muita Bobeira
The Haunted,2009,127,Shithead
Ministry,1988,127,Destruction
Primordial,1998,127,Graven Idol
Simply Red,2009,127,Fairground
cLOUDDEAD,2004,126,The Keen Teen Skip
Opeth,2010,126,Porcelain Heart
Hexstatic,2000,126,Ninja Tune
Spin Doctors,2010,126,Two Princes
Behemoth,2006,126,Summoning (Of the Ancient Ones)
The Black Keys,2011,126,Dead and Gone
Hella,2006,126,Biblical Violence
Bongzilla,2002,126,Trinity (Gigglebush)
Atreyu,2007,126,No One Cares
Oasis,2000,126,Roll It Over
Tim Hecker,2001,126,The Work of Art in the Age of Cultural Overproduction
Versailles,2008,126,After Cloudia
Seether,2005,126,Given
Imagine Dragons,2012,126,Every Night
Entwine,2010,126,Nothing's Forever
Orange Juice,1982,126,Rip It Up
Nasum,2003,125,Violation
Uncle Tupelo,2014,125,Graveyard Shift
A Change of Pace,2006,125,Shoot From The Hip
Howie Day,2000,125,She Says
Health,2015,125,New Coke
Simon & Garfunkel,2009,125,Bookends
Jordan Pruitt,2007,125,Outside Looking In
Charlie Brown JR.,2016,125,Não Deixe O Mar Te Engolir
Kyuss,1994,125,Whitewater
Freestylers,2004,125,Boom Blast
Frankie Lymon and The Teenagers,2008,125,Goody Goody
Gravenhurst,2007,125,Hollow Men
Johnny Cash,1994,125,Like A Soldier
Mastodon,2011,125,The Hunter
You Love Her Coz She's Dead,2013,125,Young Tender Hearts Beat Fast
Colonel Claypool's Bucket of Bernie Brains,2004,125,Thai Noodles
Skinless,2006,124,"Trample the Weak, Hurdle the Dead"
A Veil of Water,2013,124,Stepping Stones
Recoil,1997,124,Luscious Apparatus
Amberian Dawn,2008,124,My Only Star
Shajan,2004,124,Natural Healing
Alex Smoke,2005,124,Lost in Sound
Fatima Spar und Die Freedom Fries,2006,124,Zirzop
Billy Joel,1977,124,The Stranger
Millencolin,2000,124,Fox
Johnny Cash,1958,124,There You Go
Television,1982,124,See No Evil
Chambao,2003,124,Verde Mar
Manic Street Preachers,1996,124,Kevin Carter
Cannibal Corpse,2005,124,Nothing Left to Mutilate
The Animals,1992,124,For Miss Caulker
Banco De Gaia,1997,124,Celestine
Base Ball Bear,2006,124,GIRL FRIEND
Muse,2013,123,Supremacy
JLS,2016,123,Beat Again
Raised Fist,2003,123,Get This Right!
Elvenking,2007,123,Dominhate
9 Lazy 9,1994,123,Swingpool
Tiësto,2010,123,Always Near
Arkona,2009,123,Maslenitsa
Jack Off Jill,2006,123,Everything's Brown
Martha and the Muffins,2009,123,Echo Beach
Fluke,2002,123,Astrosapiens
Augustana,2005,123,California's Burning
Electrelane,2004,123,You Make Me Weak at the Knees
Days of the New,1999,123,Weapon & The Wound
Thyrfing,2005,123,Baldersbålet
Psapp,2007,123,King of You
Anathema,2008,123,Unchained (Tales of the Unexpected)
Lullatone,2006,123,Good Morning Melody
Nosaj Thing,2009,122,Fog
Queen,2009,122,Crazy Little Thing Called Love
Creedence Clearwater Revival,2010,122,Born on the Bayou
Avril Lavigne,2007,122,Girlfriend
Wim Mertens,1988,122,Humility
Netsky,2010,122,I Refuse
Spice Girls,2013,122,Who Do You Think You Are
Sean Lennon,2008,122,Parachute
Good Charlotte,2007,122,Something Else
Biosphere,2006,122,People Are Friends
Public Image Ltd.,1978,122,Fodderstompf
Bénabar,2010,122,Je suis de celles
Witchcraft,2004,122,I Want You To Know
The Knife,2013,122,Networking
Dream Evil,2003,122,Evilized
Field Music,2010,122,Let's Write A Book
Common,2010,122,The Corner
Sugar Ray,2001,122,When It's Over
Sparklehorse,2006,121,Getting It Wrong
Sonic Boom Six,2006,121,Piggy in the Middle
Hans Zimmer,2007,121,Parlay
Stratovarius,1998,121,Sos
Kaki King,2004,121,Neanderthal
My Dying Bride,2002,121,The Snow in My Hand
Pornopop,2006,121,Centre
Have Heart,2006,121,The Unbreakable
Snow Patrol,2013,121,Chocolate
Sarah McLachlan,2003,121,Perfect Girl
Ca$his,2006,121,Everything Is Shady
Fiction Factory,2012,121,(Feels Like) Heaven
Vanessa Carlton,2002,121,Ordinary Day
Edenbridge,2006,121,Evermore
Darkthrone,2010,121,Eyes Burst At Dawn
Led Zeppelin,2003,121,Dazed and Confused
Scarling.,2006,120,City Noise
Manual,2007,120,Summer Haze
The Forces of Evil,2003,120,Vague Love Song
Thomas Fehlmann,2004,120,Prefab
Suffocation,1991,120,Mass Obliteration
Throbbing Gristle,2007,120,Vow of Silence
"Medeski, Martin and Wood",1992,120,Hermeto's Daydream
Jazztronik,2013,120,Set Free
Smoke City,1997,120,Mr. Gorgeous (and Miss Curvaceous)
Clairo,2019,120,Bags
Ananda Shankar,2007,120,Streets of Calcutta
KMFDM,2009,120,Being Boiled
Nightbreed,1993,120,Pack of Wolves (Pendulum Remix)
Talkdemonic,2006,120,Mountaintops in Caves
Terence Trent D'Arby,2012,120,If You Let Me Stay
Carpathian Forest,2000,120,Mask of the Slave
The Head and the Heart,2014,120,Another Story
Liars,2004,119,Hold Hands And It Will Happen Anyway
The Agony Scene,2005,119,Scapegoat
Japandroids,2010,119,Press Corps
Vader,2011,119,Decapitated Saints
Further Seems Forever,2001,119,Pictures Of Shorelines
Joe Cocker,1991,119,Sorry Seems To Be The Hardest Word
Faithless,2001,119,Code
Thunderball,2001,119,Angela's Lament
The Alan Parsons Project,1980,119,May Be A Price To Pay
Run the Jewels,2014,119,Jeopardy
Vampire Weekend,2013,119,Step
Rubén González,2000,119,Choco's Guajira
Hope Sandoval & The Warm Inventions,2010,119,Blanchard
Queens of the Stone Age,2003,119,Go With the Flow
Rotersand,2006,119,Drop Your Edukation (UK Mix)
Venom,1982,119,Teacher's Pet
Fact,2009,119,Lights Of Vein
Sugababes,2001,119,Run for Cover
Dolores O'Riordan,2007,119,Human Spirit
Plaid,1999,119,Buddy
R.E.M.,1988,119,Pop Song 89
Dustin O'Halloran,2011,119,Opus 26
Mobb Deep,2014,118,Cradle to the Grave
Current 93,2004,118,Sleep Has His House
Teenage Fanclub,2005,118,It's All In My Mind
The Mountain Goats,2003,118,International Small Arms Traffic Blues
Anúna,2000,118,Blackthorn
Machinae Supremacy,2006,118,Rogue World Asylum
Him,1997,118,The Beginning Of The End
