artist,year,occurrences,title
Jordin Sparks,2008,16131,Next to You
Escape the Fate,2008,16094,It's Just Me
José González,2007,16074,Fold
Ray LaMontagne,2004,16007,Jolene
Brad Paisley,2009,15925,She's Everything
Lady Gaga,2012,15864,Paper Gangsta
Brand New,2001,15776,Magazines
Hot Chip,2004,15776,Bad Luck
Mogwai,2006,15774,Black Spider
A Day to Remember,2008,15768,Sound the Alarm v.2.0
Devendra Banhart,2004,15761,Tit Smoking in the Temple of Artesan Mimicry
Us3,1993,15758,Eleven Long Years
Brand New,2003,15683,Jaws Theme Swimming
Stratovarius,2003,15521,Dreamweaver
Radiohead,2001,15468,Kinetic
Kris Allen,2003,15397,Live Like We're Dying
Miranda Lambert,2009,15372,Only Prettier
Amy Winehouse,2006,15361,Back to Black
Silversun Pickups,2006,15267,Lazy Eye
Ellie Goulding,2010,15254,Your Biggest Mistake
Parov Stelar,2013,15224,Chambermaid Swing
Ester Dean,2009,15209,Drop It Low
Fountains of Wayne,2010,15165,Stacy's Mom
Foo Fighters,1995,15125,Exhausted
Damien Rice,2006,15125,9 Crimes (Demo)
Holy Fuck,2005,15100,Tonebank Computer
Massive Attack,2010,15043,Saturday Come Slow
The Airborne Toxic Event,2009,15042,Does This Mean You're Moving On?
The Black Keys,2012,15031,Lonely Boy
Kreator,2001,15027,Slave Machinery
Snow Patrol,2008,14971,Engines
Yeasayer,2011,14832,O.N.E.
Bloc Party,2005,14824,Pioneers
Band of Horses,2010,14787,NW Apt.
Lily Allen,2006,14677,Everything's Just Wonderful
Radiohead,2000,14657,Treefingers
Jack Johnson,2006,14642,Supposed To Be
Queens of the Stone Age,2002,14549,Do It Again
Marina & the Diamonds,2010,14454,Mowgli's Road
The New Pornographers,2000,14407,Breakin' the Law
Lou Reed,1972,14371,Hangin' 'Round
M83,2001,14371,She Stands Up
The Maine,2008,14369,You Left Me
LCD Soundsystem,2005,14225,Yeah (Pretentious Mix)
Sigur Rós,2000,14196,Avalon
Apocalyptica,2005,14176,Fisheye
Sikth,2015,14138,Peep Show
Lil' Wayne,2008,14127,Mrs. Officer
MGMT,2007,14121,The Handshake
War Of Ages,2006,14071,Strength Within
Klaus Badelt,2014,14021,Blood Ritual
In Flames,2004,13998,Like You Better Dead
Steely Dan,2006,13975,Dirty Work
Camera Obscura,2009,13962,Forests And Sands
Miike Snow,2009,13955,Burial
Beirut,2009,13940,Venice
Radiohead,1993,13869,Vegetable
The Bird and the Bee,2008,13838,Ray Gun
The Hives,2007,13837,Return The Favour
The Bird and the Bee,2007,13825,Again & Again
Daft Punk,2006,13788,Human After All
Incubus,2007,13771,Dig
Antony and the Johnsons,2005,13744,My Lady Story
Radiohead,2013,13742,Weird Fishes/Arpeggi
Xavier Rudd,2007,13736,Set It Up
Belle and Sebastian,2006,13736,Act of the Apostle II
Justin Bieber,2009,13713,One Time
Creedence Clearwater Revival,2012,13691,Bootleg
OneRepublic,2007,13686,Come Home
OK Go,2010,13656,Here It Goes Again
Breaking Benjamin,2006,13637,Evil Angel
Josh Turner,2012,13622,Why Don't We Just Dance
Digitalism,2007,13577,The Pulse
Gnarls Barkley,2006,13540,Smiley Faces
Holy Fuck,2010,13531,SHT MTN
AFI,2003,13483,Paper Airplanes (Makeshift Wings)
Corinne Bailey Rae,2006,13473,Like a Star
Rihanna,2009,13473,Hard
Discovery,2009,13388,Can You Discover?
Silversun Pickups,2007,13375,Dream At Tempo 119
Incubus,2001,13375,Mexico
Biffy Clyro,2010,13246,Many Of Horror
Jamie Foxx,2008,13172,Intuition Interlude
MGMT,2010,13146,Flash Delirium
Darius Rucker,2008,13141,Don't Think I Don't Think About It
The Weepies,2006,13124,Gotta Have You
Rage Against the Machine,1996,13117,Snakecharmer
Elliott Smith,2010,13100,Twilight
Juanes,2004,13063,Tu Guardian
Placebo,2000,13046,Narcoleptic
Weezer,2009,12975,Let It All Hang Out
Alice Cooper,2001,12950,Poison
M. Ward,2009,12942,Never Had Nobody Like You
Thievery Corporation,1997,12928,Universal Highness
Alice in Chains,2009,12927,Take Her Out
Modest Mouse,1997,12859,Jesus Christ Was an Only Child
Alicia Keys,2010,12851,Doesn't Mean Anything
Beirut,2008,12830,Carousels
The Mars Volta,2003,12817,This Apparatus Must Be Unearthed
The Bloody Beetroots,2009,12794,Second Streets Have No Name (feat. Beta Bow)
Andrew Bird,2007,12787,Cataracts
Steely Dan,1985,12755,East St. Louis Toodle-Oo
Matthew Dear,2007,12744,Deserter
Kings of Leon,2004,12696,Where Nobody Knows
Edwyn Collins,2001,12687,A Girl Like You
Jack Johnson,2004,12682,Rodeo Clowns
Gorillaz,2011,12678,Superfast Jellyfish
Battles,2007,12642,Prismism
Coldplay,1999,12635,Such a Rush
Belle and Sebastian,2003,12615,I'm a Cuckoo
Jonas Brothers,2008,12603,Inseparable
Deftones,2016,12593,Passenger
Silvio Rodríguez,1978,12587,Ojalá
Bon Iver,2013,12514,The Wolves (Act I and II)
Brooks & Dunn,2011,12512,Red Dirt Road
Gogol Bordello,2007,12508,Zina-Marina
Fiona Apple,2014,12503,Shadowboxer
Klaus Badelt,2009,12482,He's a Pirate
Arctic Monkeys,2007,12467,Matador
Brad Paisley,2010,12467,He Didn't Have To Be
HammerFall,2009,12457,Hearts on Fire
Muse,2000,12453,Nishe
The Decemberists,2009,12437,An Interlude
Flogging Molly,2007,12360,If I Ever Leave This World Alive
Flogging Molly,2010,12345,Every Dog Has Its Day
Cake,1996,12336,Daria
José González,2003,12330,Slow Moves
Flying Lotus,2012,12312,Dream to Me
A Day to Remember,2005,12305,A Second Glance
Fergie,2006,12277,Fergalicious
Robin Thicke,2006,12255,Ask Myself
Arctic Monkeys,2009,12249,Cornerstone
Rammstein,2005,12194,Hilf mir
Mansun,2008,12188,Stripper Vicar
The Album Leaf,2004,12155,Thule
TV on the Radio,2008,12139,Red Dress
Evanescence,2003,12130,Haunted
Elliott Smith,1998,12113,"Oh Well, Okay"
Ryan Adams,2001,12103,Wild Flowers
Ellie Goulding,2011,12061,Wish I Stayed
K'naan,2009,12029,T.I.A.
Explosions in the Sky,2003,12026,Memorial
All Time Low,2009,11983,Break Your Little Heart
Simian Mobile Disco,2007,11943,I Believe
Cake,1997,11929,Comanche
The Raconteurs,2008,11912,Old Enough
Shaggy,2008,11860,Hey Sexy Lady
The Knife,2006,11855,Na Na Na
Explosions in the Sky,2007,11825,It's Natural To Be Afraid
Incubus,1997,11789,Aqueous Transmission
Lit,2013,11776,My Own Worst Enemy
Iron Maiden,2011,11763,Different World
The Pussycat Dolls,2008,11751,Happily Never After
Flight of the Conchords,2008,11747,Bowie
Cake,2001,11732,Opera Singer
The Knife,2003,11729,Girls' Night Out
John Mayer,2007,11664,I Don't Trust Myself (With Loving You)
Peter Gabriel,2010,11602,The Book Of Love
Flogging Molly,2006,11562,The Likes of You Again
Gorillaz,2002,11551,Jungle Fresh
Jay-Z,2010,11550,D'Evils
Eiffel 65,2013,11520,Blue (Da Ba Dee)
Amos Lee,2014,11513,"Keep It Loose, Keep It Tight"
Rob Zombie,2003,11512,Girl On Fire
Weezer,2015,11459,My Name Is Jonas
Dierks Bentley,2008,11403,Trying To Stop Your Leaving
Elton John,2007,11388,Sacrifice
The Gaslight Anthem,2008,11364,Blue Jeans & White T-Shirts
Yeasayer,2010,11347,Strange Reunions
Rise Against,2001,11332,Six Ways 'Til Sunday
Neutral Milk Hotel,1998,11332,The Fool
Descendents,1988,11318,Tonyage
Rufus Wainwright,2004,11313,This Love Affair
Colbie Caillat,2007,11307,Battle
Alison Krauss,1995,11267,When You Say Nothing At All
Papa Roach,2009,11258,Into The Light
Röyksopp,2005,11254,Circuit Breaker
Operation Ivy,2007,11252,Bombshell
The Decemberists,2002,11226,A Cautionary Song
Audioslave,2005,11225,#1 Zero
The White Stripes,2005,11224,The Denial Twist
Metallica,2009,11221,The Memory Remains
M83,2005,11216,Until the Night Is Over
Miley Cyrus,2009,11214,Kicking and Screaming
Marilyn Manson,2008,11202,This Is Halloween
Eminem,2004,11179,Crazy In Love
Bond,2004,11169,Midnight Garden
Darwin Deez,2009,11163,The Suicide Song
U2,1985,11158,Love Comes Tumbling
Rihanna,2006,11148,Unfaithful
Flyleaf,2009,11145,Chasm
Pendulum,2008,11113,Mutiny
Bentley Rhythm Ace,1997,11093,Ragtopskodacarchase
