occurences,year,artist
123,2016,JLS
117,2016,Warpaint
114,2016,Dua Lipa
112,2016,Aterciopelados
110,2016,Drake
109,2016,Ensiferum
104,2016,Queen
104,2016,Tom Odell
96,2016,Brian Crain
95,2016,Childish Gambino
93,2016,The Kilimanjaro Darkjazz Ensemble
90,2016,The Kills
88,2016,Pentagram
87,2016,Green Day
83,2016,Kanye West
83,2016,Korn
77,2016,Italobrothers
75,2016,All Time Low
75,2016,Liv
72,2016,Derdian
72,2016,Kreator
66,2016,Leon Bridges
66,2016,Natalie Imbruglia
65,2016,C-Bool
64,2016,Chance the Rapper
59,2016,Carcass
58,2016,The Lumineers
56,2016,Jedi Mind Tricks
55,2016,Mother Love Bone
54,2016,Delain
53,2016,Thousand Foot Krutch
52,2016,Alessia Cara
49,2016,New Radicals
47,2016,Biosphere
47,2016,G-Eazy
45,2016,Avenged Sevenfold
45,2016,Beyonc\u00e9
43,2016,Velvet Acid Christ
42,2016,BADBADNOTGOOD
42,2016,Mecano
42,2016,Rival Consoles
41,2016,Running Wild
41,2016,The Weeknd
39,2016,Lolene
39,2016,OFENBACH
37,2016,Nachtmahr
36,2016,Bury Tomorrow
36,2016,Cornelius
35,2016,Donny Hathaway
35,2016,Grace
35,2016,Russian Circles
34,2016,Haken
29,2016,Architects
29,2016,Sabaton
29,2016,Silver Apples
28,2016,Natasha Bedingfield
26,2016,Dream Theater
25,2016,Disclosure
24,2016,Alan Walker
24,2016,Aversions Crown
24,2016,Rihanna
24,2016,Steve Vai
24,2016,The Durutti Column
21,2016,Nathaniel Rateliff & the Night Sweats
20,2016,In Flames
19,2016,Anderson .Paak
19,2016,Touch\u00e9 Amor\u00e9
19,2016,Tove Lo
18,2016,Queensr\u00ffche
18,2016,Rachel Platten
18,2016,X Ambassadors
18,2016,Zara Larsson
17,2016,Foxes
17,2016,Miike Snow
15,2016,Abel Korzeniowski
15,2016,Duke Dumont
15,2016,Kero Kero Bonito
15,2016,Sia
14,2016,Death
14,2016,Diary of Dreams
13,2016,Ginuwine
13,2016,Henryk G\u00f3recki
13,2016,James Bay
13,2016,The 1975
12,2016,Crystal Castles
12,2016,George Michael
12,2016,Muna
11,2016,Coldplay
10,2016,Arkona
10,2016,David Bowie
10,2016,Paradis
10,2016,Simple Minds
9,2016,Clutch
9,2016,Deine Lakaien
9,2016,Excel
9,2016,Jakob Dylan
9,2016,Kygo
9,2016,Soul II Soul
8,2016,Bond
8,2016,Daughter
8,2016,Eric Prydz
7,2016,Bibio
7,2016,Meghan Trainor
7,2016,Parkway Drive
7,2016,R\u00dcF\u00dcS DU SOL
7,2016,Smile Empty Soul
6,2016,Alex Kozobolis
6,2016,Years & Years
5,2016,Every Time I Die
5,2016,Nelly
4,2016,Tycho
3,2016,Adam Lambert
3,2016,Blank Banshee
